#combi_pos	#pos1	#pos2	#attenuation (dB)
1	7	8	-64.099304
2	9	7	-63.001679
3	10	7	-62.009187
4	7	11	-61.001265
5	15	6	-59.902535
6	14	7	-58.933820
7	12	9	-57.827443
8	12	10	-56.804393
9	11	12	-55.859405
10	15	10	-54.797084
11	15	11	-53.881935
12	17	11	-52.778630
13	12	17	-51.806843
14	12	19	-50.783793
15	16	16	-49.789283
16	18	16	-48.757983
17	16	20	-47.736037
18	19	19	-46.705308
19	16	25	-45.706884
20	24	19	-44.708362
21	22	23	-43.703643
22	29	20	-42.654305
23	31	21	-41.657013
24	23	31	-40.631708
25	29	28	-39.602102
26	34	27	-38.619279
27	32	32	-37.588865
28	35	33	-36.578847
29	35	37	-35.555797
30	45	33	-34.547557
31	45	37	-33.524506
32	33	55	-32.515453
33	36	57	-31.488411
34	53	45	-30.477170
35	56	48	-29.467724
36	57	53	-28.449473
37	61	56	-27.425938
38	68	57	-26.411463
39	73	60	-25.397524
40	80	62	-24.382433
41	77	72	-23.367096
42	79	79	-22.347007
43	85	83	-21.330167
44	99	81	-20.317083
45	112	81	-19.300166
46	83	120	-18.285316
47	122	94	-17.268467
48	118	109	-16.254027
49	128	113	-15.238471
50	123	132	-14.222585
51	113	161	-13.205164
52	119	172	-12.190878
53	133	173	-11.175274
54	128	202	-10.158911
55	122	238	-9.143159
56	129	253	-8.126802
57	145	252	-7.111199
58	179	223	-6.095332
59	177	254	-5.079458
60	197	249	-4.062062
61	221	237	-3.048654
62	226	257	-2.034883
63	247	248	-1.014617
64	257	257	-0.038999
